name
Автоматика транспортных систем непрерывного действия
Микробиология и вирусология
Основы гистологической химии
Производственная практика (технологическая практика (часть 1))
Диагностика изоляции
Электроснабжение
Интегрированные системы управления и проектирования
Иностранный язык в профессиональной сфере
Методы прикладной статистики для социологов
Теория электропривода
